Date,Open,High,Low,Close
09/02/2025,"21,086.57","21,293.69","21,033.05","21,279.63"
08/29/2025,"21,630.33","21,631.15","21,397.98","21,455.55"
08/28/2025,"21,619.27","21,742.46","21,534.94","21,705.16"
08/27/2025,"21,526.33","21,616.17","21,476.30","21,590.14"
08/26/2025,"21,443.63","21,550.93","21,389.10","21,544.27"
08/25/2025,"21,466.47","21,572.18","21,400.09","21,449.29"
08/22/2025,"21,139.83","21,545.43","21,092.36","21,496.53"
08/21/2025,"21,112.52","21,198.76","21,013.53","21,100.31"
08/20/2025,"21,269.67","21,269.67","20,905.99","21,172.86"
08/19/2025,"21,607.45","21,610.24","21,277.71","21,314.95"
08/18/2025,"21,616.82","21,651.50","21,559.33","21,629.77"
08/15/2025,"21,709.34","21,716.18","21,567.46","21,622.98"
08/14/2025,"21,649.21","21,766.29","21,627.13","21,710.67"
08/13/2025,"21,764.55","21,803.75","21,645.14","21,713.14"
08/12/2025,"21,507.44","21,689.68","21,386.25","21,681.90"
08/11/2025,"21,459.65","21,549.73","21,346.62","21,385.40"
08/08/2025,"21,316.37","21,464.53","21,284.98","21,450.02"
08/07/2025,"21,325.01","21,408.15","21,090.05","21,242.70"
08/06/2025,"20,955.22","21,183.88","20,937.49","21,169.42"
08/05/2025,"21,092.10","21,138.72","20,893.29","20,916.55"
08/04/2025,"20,853.91","21,055.24","20,833.86","21,053.58"
08/01/2025,"20,830.64","20,865.63","20,560.17","20,650.13"
07/31/2025,"21,457.48","21,457.48","21,078.67","21,122.45"
07/30/2025,"21,140.40","21,230.88","21,016.92","21,129.67"
07/29/2025,"21,286.73","21,303.96","21,081.69","21,098.29"
07/28/2025,"21,176.40","21,202.18","21,122.12","21,178.58"
07/25/2025,"21,059.94","21,159.81","21,036.85","21,108.32"
07/24/2025,"21,083.82","21,113.10","21,001.68","21,057.96"
07/23/2025,"20,966.47","21,023.85","20,870.67","21,020.02"
07/22/2025,"20,982.21","20,985.34","20,750.90","20,892.68"
07/21/2025,"20,960.33","21,077.37","20,957.44","20,974.17"
07/18/2025,"20,959.57","20,980.56","20,846.12","20,895.66"
07/17/2025,"20,760.32","20,911.83","20,735.55","20,885.65"
07/16/2025,"20,717.81","20,751.05","20,507.06","20,730.49"
07/15/2025,"20,822.76","20,836.04","20,670.58","20,677.80"
07/14/2025,"20,592.56","20,672.34","20,492.63","20,640.33"
07/11/2025,"20,562.89","20,647.98","20,509.75","20,585.53"
07/10/2025,"20,636.48","20,655.39","20,495.14","20,630.66"
07/09/2025,"20,522.09","20,645.41","20,486.39","20,611.34"
07/08/2025,"20,466.93","20,480.89","20,377.36","20,418.46"
07/07/2025,"20,490.55","20,511.82","20,323.02","20,412.52"
07/03/2025,"20,497.66","20,624.51","20,480.22","20,601.10"
07/02/2025,"20,184.37","20,397.22","20,181.74","20,393.13"
07/01/2025,"20,290.61","20,339.05","20,105.41","20,202.89"
06/30/2025,"20,360.15","20,418.31","20,266.36","20,369.73"
06/27/2025,"20,217.26","20,311.51","20,095.05","20,273.46"
06/26/2025,"20,062.19","20,187.15","19,982.48","20,167.91"
06/25/2025,"20,013.95","20,052.78","19,918.08","19,973.55"
06/24/2025,"19,809.62","19,946.72","19,795.29","19,912.53"
06/23/2025,"19,427.01","19,643.70","19,334.98","19,630.97"
06/20/2025,"19,639.41","19,696.11","19,380.58","19,447.41"
06/18/2025,"19,526.92","19,660.77","19,489.56","19,546.27"
06/17/2025,"19,627.08","19,666.56","19,485.44","19,521.09"
06/16/2025,"19,550.75","19,733.31","19,550.75","19,701.21"
06/13/2025,"19,450.93","19,591.87","19,367.42","19,406.83"
06/12/2025,"19,578.87","19,690.61","19,553.56","19,662.48"
06/11/2025,"19,779.36","19,800.46","19,551.35","19,615.88"
06/10/2025,"19,620.11","19,730.38","19,539.09","19,714.99"
06/09/2025,"19,573.14","19,637.56","19,531.10","19,591.24"
06/06/2025,"19,526.99","19,593.18","19,464.84","19,529.95"
06/05/2025,"19,518.20","19,610.51","19,226.22","19,298.45"
06/04/2025,"19,434.94","19,493.45","19,359.09","19,460.49"
06/03/2025,"19,288.66","19,459.28","19,224.70","19,398.96"
06/02/2025,"19,063.06","19,252.72","18,985.30","19,242.61"
05/30/2025,"19,131.22","19,157.78","18,847.74","19,113.77"
05/29/2025,"19,389.39","19,389.39","19,091.54","19,175.87"
05/28/2025,"19,232.62","19,276.83","19,084.38","19,100.94"
05/27/2025,"19,014.44","19,210.95","18,961.69","19,199.16"
05/23/2025,"18,622.38","18,841.52","18,599.69","18,737.21"
05/22/2025,"18,888.05","19,061.11","18,840.34","18,925.73"
05/21/2025,"19,002.94","19,241.41","18,799.20","18,872.64"
05/20/2025,"19,132.06","19,186.69","19,015.63","19,142.71"
05/19/2025,"18,937.42","19,227.22","18,937.42","19,215.46"
05/16/2025,"19,151.54","19,213.42","19,038.48","19,211.10"
05/15/2025,"19,031.24","19,207.23","18,967.78","19,112.32"
05/14/2025,"19,074.72","19,174.55","19,023.61","19,146.81"
05/13/2025,"18,761.23","19,065.96","18,745.50","19,010.08"
05/12/2025,"18,674.56","18,710.22","18,472.71","18,708.34"
05/09/2025,"18,022.55","18,068.90","17,853.84","17,928.92"
05/08/2025,"17,920.15","18,096.00","17,776.01","17,928.14"
05/07/2025,"17,706.83","17,820.30","17,503.01","17,738.16"
05/06/2025,"17,623.21","17,830.35","17,592.88","17,689.66"
05/05/2025,"17,817.01","17,965.64","17,792.08","17,844.24"
05/02/2025,"17,868.76","18,048.83","17,812.05","17,977.73"
05/01/2025,"17,793.14","17,922.83","17,688.11","17,710.74"
04/30/2025,"17,099.98","17,483.82","16,959.53","17,446.34"
04/29/2025,"17,270.76","17,500.41","17,256.20","17,461.32"
04/28/2025,"17,390.93","17,467.35","17,128.71","17,366.13"
04/25/2025,"17,182.11","17,404.49","17,110.72","17,382.94"
04/24/2025,"16,754.76","17,174.35","16,744.97","17,166.04"
04/23/2025,"16,880.29","17,029.86","16,642.66","16,708.05"
04/22/2025,"16,079.94","16,410.56","16,038.73","16,300.42"
04/21/2025,"16,052.76","16,066.79","15,685.34","15,870.90"
04/17/2025,"16,399.97","16,408.51","16,181.17","16,286.45"
04/16/2025,"16,499.69","16,600.37","16,066.46","16,307.16"
04/15/2025,"16,842.39","16,979.96","16,753.22","16,823.17"
04/14/2025,"17,120.44","17,136.56","16,661.26","16,831.48"
04/11/2025,"16,358.53","16,753.41","16,228.04","16,724.46"
04/10/2025,"16,635.45","16,712.37","15,894.27","16,387.31"
04/09/2025,"15,295.44","17,202.94","15,270.28","17,124.97"
04/08/2025,"16,181.04","16,316.51","15,053.39","15,267.91"
04/07/2025,"14,978.03","16,292.28","14,784.03","15,603.26"
04/04/2025,"16,045.60","16,128.16","15,575.68","15,587.79"
04/03/2025,"16,790.53","16,889.34","16,533.05","16,550.61"
04/02/2025,"17,207.01","17,716.52","17,181.27","17,601.05"
04/01/2025,"17,221.55","17,506.59","17,149.36","17,449.89"
03/31/2025,"17,045.44","17,334.98","16,854.37","17,299.29"
03/28/2025,"17,722.09","17,763.28","17,283.06","17,322.99"
03/27/2025,"17,811.24","17,988.02","17,743.80","17,804.03"
03/26/2025,"18,217.33","18,236.56","17,837.26","17,899.01"
03/25/2025,"18,207.97","18,281.14","18,170.42","18,271.86"
03/24/2025,"18,046.19","18,210.05","18,030.68","18,188.59"
03/21/2025,"17,519.84","17,798.06","17,474.81","17,784.05"
03/20/2025,"17,586.06","17,903.20","17,576.82","17,691.63"
03/19/2025,"17,590.12","17,917.55","17,533.94","17,750.79"
03/18/2025,"17,662.57","17,682.92","17,431.67","17,504.12"
03/17/2025,"17,722.55","17,925.94","17,645.87","17,808.66"
03/14/2025,"17,523.30","17,773.48","17,491.08","17,754.09"
03/13/2025,"17,598.56","17,621.91","17,239.44","17,303.01"
03/12/2025,"17,711.41","17,800.10","17,436.27","17,648.45"
03/11/2025,"17,443.09","17,687.40","17,238.24","17,436.10"
03/10/2025,"17,840.32","17,868.07","17,291.82","17,468.32"
03/07/2025,"18,029.85","18,243.58","17,768.59","18,196.22"
03/06/2025,"18,204.53","18,439.24","17,980.39","18,069.26"
03/05/2025,"18,312.97","18,604.47","18,144.73","18,552.73"
03/04/2025,"18,176.43","18,589.49","17,956.60","18,285.16"
03/03/2025,"18,923.36","18,992.30","18,216.63","18,350.19"
02/28/2025,"18,477.17","18,861.33","18,372.99","18,847.28"
02/27/2025,"19,212.36","19,242.69","18,535.23","18,544.42"
02/26/2025,"19,109.32","19,286.02","18,966.46","19,075.26"
02/25/2025,"19,242.61","19,256.35","18,871.52","19,026.39"
02/24/2025,"19,590.85","19,644.23","19,275.46","19,286.92"
02/21/2025,"20,006.69","20,016.66","19,510.91","19,524.01"
02/20/2025,"20,029.19","20,041.15","19,795.02","19,962.36"
02/19/2025,"19,994.50","20,099.39","19,928.90","20,056.25"
02/18/2025,"20,090.56","20,110.12","19,909.74","20,041.26"
02/14/2025,"19,956.82","20,045.76","19,932.15","20,026.77"
02/13/2025,"19,696.92","19,952.17","19,675.87","19,945.64"
02/12/2025,"19,436.51","19,682.51","19,415.48","19,649.95"
02/11/2025,"19,602.11","19,731.93","19,579.77","19,643.86"
02/10/2025,"19,668.18","19,772.04","19,650.79","19,714.27"
02/07/2025,"19,774.87","19,862.55","19,489.36","19,523.40"
02/06/2025,"19,725.83","19,793.36","19,654.11","19,791.99"
02/05/2025,"19,533.05","19,696.94","19,498.90","19,692.33"
02/04/2025,"19,422.17","19,666.44","19,408.18","19,654.02"
02/03/2025,"19,215.38","19,502.13","19,141.15","19,391.96"
01/31/2025,"19,832.33","19,969.17","19,575.21","19,627.44"
01/30/2025,"19,697.53","19,785.79","19,483.83","19,681.75"
01/29/2025,"19,695.68","19,699.82","19,479.51","19,632.32"
01/28/2025,"19,418.22","19,759.43","19,294.62","19,733.59"
01/27/2025,"19,234.04","19,514.35","19,204.95","19,341.83"
01/24/2025,"20,087.11","20,118.61","19,897.14","19,954.30"
01/23/2025,"19,906.99","20,053.68","19,892.55","20,053.68"
01/22/2025,"19,903.05","20,068.52","19,903.05","20,009.34"
01/21/2025,"19,734.39","19,789.63","19,551.17","19,756.78"
